Group;Age group;%;Prob
1;0-4;0;0
2;5-9;0;0
3;10-14;0,021;0
4;15-19;4,458;0,045
5;20-24;28,692;0,287
6;25-29;30,228;0,302
7;30-34;22,064;0,221
8;35-39;11,116;0,111
9;40-44;3,12;0,031
10;45-49;0,264;0,003
11;50-54;0,038;0
12;55-59;0;0
13;60-64;0;0
14;65-69;0;0
15;>70;0;0
